code,name,p1_animal,p2_plant,p3_evo,p4_bioch,t1,t2,rank
Vietnam 3,Nguyen Phuong Thao,52.500,35.300,58.050,85.950,35.250,35.500,1.000
China 4,Yuchen Yao,61.900,32.580,66.150,86.350,29.250,34.000,2.000
Chinese Taipei (Taiwan) 4,Yun-Chen Chen,47.500,48.820,81.100,83.600,24.500,29.500,3.000
Iran 2,Parmida Sadat - Pezeshki,52.000,47.450,83.200,73.300,27.750,26.250,4.000
Chinese Taipei (Taiwan) 3,Yu-Chi Cheng,46.400,54.250,65.150,83.250,28.250,27.750,5.000
China 3,Yuxiang Yang,37.100,48.900,81.450,81.300,28.750,27.500,6.000
Chinese Taipei (Taiwan) 2,Chen-Yu Lu,54.700,50.650,84.500,83.700,23.500,26.000,7.000
Poland 4,Pawel Franciszek Tyrna,54.000,34.670,69.900,84.200,31.500,25.250,8.000
Vietnam 1,Tran Thi Minh Anh,35.500,39.825,67.250,82.800,30.750,28.250,9.000
Singapore 1,Yun Wei Shermane Lim,50.300,53.000,61.350,80.550,24.500,28.750,10.000
Russia 3,Artem Pustovid,71.400,45.050,44.000,76.700,26.500,27.500,11.000
China 2,Shangjian Liu,39.900,58.500,44.450,86.100,29.250,27.750,12.000
China 1,Xuanzhi Wang,40.000,21.400,85.550,87.850,28.500,28.500,13.000
Russia 1,Azat Garaev,59.400,34.050,70.000,37.700,31.750,25.750,14.000
Iran 4,Nikan Amirkhani,63.600,31.000,84.800,75.000,22.000,26.750,15.000
United Kingdom 2,Patrick Thomas Norcliffe Mccubbin,42.900,42.550,64.900,56.100,31.750,25.250,16.000
Singapore 4,Wei Jun Justin Ng,56.250,26.825,61.150,84.200,26.750,27.750,17.000
South Korea 1,Seunghyun Park,55.750,41.900,68.200,74.750,24.750,25.250,18.000
Vietnam 4,Hoang Minh Trung,50.400,36.575,55.500,37.850,25.000,34.000,19.000
United Kingdom 1,Rebecca Jane Marrow,55.900,40.450,59.700,83.750,25.250,24.000,20.000
Singapore 3,Xu Rui Isaac Chan,52.600,37.500,66.700,82.350,24.750,24.500,21.000
Switzerland 2,Jana Katharina Meier,57.500,59.525,58.300,82.550,23.250,21.000,22.000
