code	name	p1_animal	p2_plant	p3_evo	p4_bioch	t1	t2	rank
Vietnam 3	Nguyen Phuong Thao	"52,5"	"35,3"	"58,05"	"85,95"	"35,25"	"35,5"	1
China 4	Yuchen Yao	"61,9"	"32,58"	"66,15"	"86,35"	"29,25"	34	2
Chinese Taipei (Taiwan) 4	Yun-Chen Chen	"47,5"	"48,82"	"81,1"	"83,6"	"24,5"	"29,5"	3
Iran 2	Parmida Sadat - Pezeshki	52	"47,45"	"83,2"	"73,3"	"27,75"	"26,25"	4
Chinese Taipei (Taiwan) 3	Yu-Chi Cheng	"46,4"	"54,25"	"65,15"	"83,25"	"28,25"	"27,75"	5
China 3	Yuxiang Yang	"37,1"	"48,9"	"81,45"	"81,3"	"28,75"	"27,5"	6
Chinese Taipei (Taiwan) 2	Chen-Yu Lu	"54,7"	"50,65"	"84,5"	"83,7"	"23,5"	26	7
Poland 4	Pawel Franciszek Tyrna	54	"34,67"	"69,9"	"84,2"	"31,5"	"25,25"	8
Vietnam 1	Tran Thi Minh Anh	"35,5"	"39,825"	"67,25"	"82,8"	"30,75"	"28,25"	9
Singapore 1	Yun Wei Shermane Lim	"50,3"	53	"61,35"	"80,55"	"24,5"	"28,75"	10
Russia 3	Artem Pustovid	"71,4"	"45,05"	44	"76,7"	"26,5"	"27,5"	11
China 2	Shangjian Liu	"39,9"	"58,5"	"44,45"	"86,1"	"29,25"	"27,75"	12
China 1	Xuanzhi Wang	40	"21,4"	"85,55"	"87,85"	"28,5"	"28,5"	13
Russia 1	Azat Garaev	"59,4"	"34,05"	70	"37,7"	"31,75"	"25,75"	14
Iran 4	Nikan Amirkhani	"63,6"	31	"84,8"	75	22	"26,75"	15
United Kingdom 2	Patrick Thomas Norcliffe Mccubbin	"42,9"	"42,55"	"64,9"	"56,1"	"31,75"	"25,25"	16
Singapore 4	Wei Jun Justin Ng	"56,25"	"26,825"	"61,15"	"84,2"	"26,75"	"27,75"	17
South Korea 1	Seunghyun Park	"55,75"	"41,9"	"68,2"	"74,75"	"24,75"	"25,25"	18
Vietnam 4	Hoang Minh Trung	"50,4"	"36,575"	"55,5"	"37,85"	25	34	19
United Kingdom 1	Rebecca Jane Marrow	"55,9"	"40,45"	"59,7"	"83,75"	"25,25"	24	20
Singapore 3	Xu Rui Isaac Chan	"52,6"	"37,5"	"66,7"	"82,35"	"24,75"	"24,5"	21
Switzerland 2	Jana Katharina Meier	"57,5"	"59,525"	"58,3"	"82,55"	"23,25"	21	22
United Kingdom 4	Brandon Trevor Tang	46	"39,5"	"61,65"	"84,8"	"23,25"	"27,75"	23
Chinese Taipei (Taiwan) 1	Geng-Yu Shen	"56,9"	46	"60,4"	"80,95"	"21,25"	"25,75"	24
Turkey 2	Ismail Hakki Dur	"53,3"	"37,76"	"59,25"	"72,1"	27	"23,5"	25
Germany 2	Paul Bunk	"51,4"	"39,07"	"59,75"	"45,85"	"25,5"	28	26
Russia 2	Danil Afonin	"51,7"	"17,76"	"59,3"	"19,9"	"32,5"	"29,5"	27
South Korea 3	Jonghan Park	"39,4"	"40,05"	"60,2"	"79,85"	"27,75"	"23,5"	28
South Korea 2	Jaewon Lee	"31,5"	"35,225"	"55,15"	"83,2"	"26,75"	"28,25"	29
India 1	Kunjal Parnami	"42,5"	"32,925"	"48,4"	"78,45"	"30,25"	24	30
Iran 1	Sara - Mohammadi	"50,9"	"35,02"	"56,95"	"73,9"	"24,25"	"25,75"	31
Czech 1	Vojtech Broz	"58,7"	"22,375"	"50,7"	"51,95"	"29,75"	"25,5"	32
Indonesia 3	Samuel Kevin Pasaribu	40	"49,55"	"49,4"	"54,95"	"25,25"	"27,5"	33
Indonesia 2	Syailendra Karuna Sugito	"50,1"	"42,58"	"50,65"	"78,75"	"23,5"	25	34
South Korea 4	Junyoung Eugene Byeon	"50,6"	"26,23"	"55,05"	"74,1"	"26,75"	25	35
Thailand 1	Paris Nilthalak	"46,2"	"31,02"	"71,4"	42	"22,5"	"28,75"	36
India 2	Stuti Khandwala	"45,5"	"38,1"	"76,05"	"31,25"	"25,25"	23	37
India 4	Vishwesh Bharadiya	"46,9"	"42,55"	"52,8"	"24,55"	"25,75"	27	38
Indonesia 1	Aditya David Wirawan	"49,5"	"38,6"	"54,45"	"67,45"	23	"24,25"	39
Russia 4	Irina Iarutich	"58,5"	"32,68"	"45,25"	"71,4"	"23,5"	"24,5"	40
Germany 1	Ederer Bruno	"62,4"	"26,9"	"43,6"	"51,95"	27	"24,25"	41
Thailand 4	Rujeerada Wirojjananuwat	45	"30,9"	"61,15"	"48,5"	"25,25"	"24,75"	42
Hungary 2	Peter Vizkeleti	"38,5"	"20,27"	"55,65"	"62,25"	"24,5"	29	43
Turkey 3	Fatih Ozlugedik	"48,6"	"33,05"	31	"50,55"	"24,5"	"28,5"	44
Australia 1	Li-Shan Chen	"34,75"	"44,18"	"64,7"	79	"21,25"	"20,75"	45
Hungary 1	Peter Otott	"55,6"	"44,78"	"48,75"	"84,45"	"18,5"	21	46
Czech 3	Jiri Janousek	64	"22,825"	"50,1"	"41,5"	26	22	47
Thailand 2	Thitiwat Asavalertpalakorn	51	"37,68"	"65,05"	37	"20,25"	"24,25"	48
Japan 2	Shigetaka Toba	"44,5"	"18,05"	"71,1"	86	24	"19,5"	49
Thailand 3	Niravit Chavanachinda	"52,4"	"24,34"	"44,8"	"52,5"	"22,25"	"27,5"	50
Singapore 2	Jia Xin Ong	"49,8"	"20,85"	"65,3"	"67,6"	"21,5"	23	51
Estonia 4	Martin Rahe	45	"37,02"	"66,4"	"47,1"	"25,75"	18	52
India 3	Shaswat Jain	38	"43,45"	63	"73,3"	"23,75"	"17,25"	53
Lithuania 4	Paulius Valiukevicius	"36,5"	"23,95"	"52,3"	92	"24,75"	"21,5"	54
Ukraine 3	Lada Isakova	"31,5"	"30,41"	"45,6"	"66,05"	"24,5"	"25,5"	55
Hungary 4	Kinga Tomcsanyi	"41,4"	"34,45"	"62,6"	"69,6"	"19,5"	"22,5"	56
Denmark 1	Andreas Sixten Hallstein Rygaard	37	"30,45"	"51,6"	"75,7"	"23,25"	"22,5"	57
Philippines 1	Gabrielle Erwin Gemeniano Awitan	"39,5"	"29,85"	"61,3"	"80,7"	"20,5"	22	58
Czech 2	Lukas Fiedler	45	"46,77"	"51,7"	"47,55"	"22,75"	20	59
Czech 4	Jonas Vlasak	"51,75"	"40,8"	"49,05"	"48,2"	20	"22,75"	60
Japan 1	Kiyoshi Ishida	"31,5"	"36,45"	"52,75"	"73,95"	"23,25"	"21,25"	61
United Kingdom 3	Amir Guppy	"47,9"	"24,5"	"64,75"	"82,95"	"21,25"	"18,25"	62
Netherlands 3	Ward De Ridder	"28,9"	"23,2"	"56,75"	"49,2"	"27,25"	"23,25"	63
Estonia 2	Kirke Joamets	35	"24,65"	"67,75"	"72,3"	"19,5"	"23,75"	64
Kazakhstan 4	Amanzhol Kuantay	26	"28,555"	"58,45"	"75,95"	24	22	65
Romania 4	Mitrofan Andrei	"45,5"	"24,6"	"55,1"	"87,2"	"19,5"	22	66
