func,lim,time
pr.for,10000,0.011999999998806743
pr.while,10000,0.013999999999214197
pr.any,10000,0.03600000000005821
pr.all,10000,0.03600000000005821
pr.in,10000,0.0459999999984575
pr.lapply,10000,0.04400000000168802
pr.map,10000,0.04799999999886495
pr.map1,10000,0.05400000000008731
pr.map2,10000,0.05400000000008731
pr.for,15000,0.020000000000436557
pr.while,15000,0.02299999999740976
pr.any,15000,0.08699999999953434
pr.all,15000,0.08499999999912689
pr.in,15000,0.08799999999973807
pr.lapply,15000,0.09999999999854481
pr.map,15000,0.10299999999915599
pr.map1,15000,0.09899999999834108
pr.map2,15000,0.1069999999999709
pr.for,20000,0.027999999998428393
pr.while,20000,0.0319999999992433
pr.any,20000,0.14199999999982538
pr.all,20000,0.14199999999982538
pr.in,20000,0.14500000000043656
pr.lapply,20000,0.14900000000125146
pr.map,20000,0.15899999999965075
pr.map1,20000,0.19900000000052387
pr.map2,20000,0.17300000000250293
pr.for,25000,0.03499999999985448
pr.while,25000,0.040000000000873115
pr.any,25000,0.2040000000015425
pr.all,25000,0.21899999999732245
pr.in,25000,0.22399999999834108
pr.lapply,25000,0.2459999999991851
pr.map,25000,0.2250000000021828
pr.map1,25000,0.24699999999938882
pr.map2,25000,0.2580000000016298
pr.for,30000,0.046000000002095476
pr.while,30000,0.04799999999886495
pr.any,30000,0.2650000000030559
pr.all,30000,0.26199999999880674
pr.in,30000,0.27700000000186265
pr.lapply,30000,0.3070000000006985
pr.map,30000,0.3109999999978754
pr.map1,30000,0.3330000000023574
pr.map2,30000,0.3460000000013679
pr.for,35000,0.05100000000311411
pr.while,35000,0.059000000001105946
pr.any,35000,0.5679999999993015
pr.all,35000,0.34699999999793363
pr.in,35000,0.3739999999997963
pr.lapply,35000,0.41200000000026193
pr.map,35000,0.4459999999999127
pr.map1,35000,0.4680000000007567
pr.map2,35000,0.47400000000197906
pr.for,40000,0.06199999999807915
pr.while,40000,0.06999999999970896
pr.any,40000,0.42299999999886495
pr.all,40000,0.42000000000189175
pr.in,40000,0.47699999999895226
pr.lapply,40000,0.5339999999996508
pr.map,40000,0.5269999999982247
pr.map1,40000,0.5509999999994761
pr.map2,40000,0.5640000000021246
pr.for,45000,0.07200000000011642
pr.while,45000,0.08100000000194996
pr.any,45000,0.5459999999984575
pr.all,45000,0.7150000000001455
pr.in,45000,0.5939999999973224
pr.lapply,45000,0.8719999999993888
pr.map,45000,0.6810000000004948
pr.map1,45000,0.6870000000017171
pr.map2,45000,0.6759999999994761
pr.for,50000,0.08299999999871943
pr.while,50000,0.0930000000007567
pr.any,50000,0.6489999999976135
pr.all,50000,0.625
pr.in,50000,0.6830000000009022
pr.lapply,50000,0.9629999999997381
pr.map,50000,0.7769999999982247
pr.map1,50000,0.7849999999998545
pr.map2,50000,1.0159999999996217
pr.for,55000,0.09800000000177533
pr.while,55000,0.11899999999877764
pr.any,55000,0.8280000000013388
pr.all,55000,0.7620000000024447
pr.in,55000,0.809000000001106
pr.lapply,55000,1.2949999999982538
pr.map,55000,0.9230000000025029
pr.map1,55000,0.9490000000005239
pr.map2,55000,1.1670000000012806
pr.for,60000,0.10399999999935972
pr.while,60000,0.11799999999857391
pr.any,60000,0.9140000000006694
pr.all,60000,0.9680000000007567
pr.in,60000,0.9530000000013388
pr.lapply,60000,1.5629999999982829
pr.map,60000,1.0240000000012515
pr.map1,60000,1.1300000000010186
pr.map2,60000,1.5250000000014552
pr.for,65000,0.11699999999837019
pr.while,65000,0.12800000000061118
pr.any,65000,1.0670000000027358
pr.all,65000,1.0950000000011642
pr.in,65000,1.0900000000001455
pr.lapply,65000,1.576999999997497
pr.map,65000,1.1829999999972642
pr.map1,65000,1.3519999999989523
pr.map2,65000,1.875
pr.for,70000,0.14199999999982538
pr.while,70000,0.1610000000000582
pr.any,70000,1.2959999999984575
pr.all,70000,1.162000000000262
pr.in,70000,1.1939999999995052
pr.lapply,70000,1.9070000000028813
pr.map,70000,1.3209999999999127
pr.map1,70000,1.4350000000013097
pr.map2,70000,2.0709999999999127
pr.for,75000,0.147000000000844
pr.while,75000,0.15999999999985448
pr.any,75000,1.4359999999978754
pr.all,75000,1.2639999999992142
pr.in,75000,1.3850000000020373
pr.lapply,75000,2.1530000000020664
pr.map,75000,1.5779999999977008
pr.map1,75000,1.727999999999156
pr.map2,75000,2.4099999999998545
pr.for,80000,0.16599999999743886
pr.while,80000,0.1680000000014843
pr.any,80000,1.4589999999989232
pr.all,80000,1.4719999999979336
pr.in,80000,1.705999999998312
pr.lapply,80000,2.5750000000007276
pr.map,80000,1.694999999999709
pr.map1,80000,2.0020000000004075
pr.map2,80000,2.639999999999418
pr.for,85000,0.22000000000116415
pr.while,85000,0.20999999999912689
pr.any,85000,1.805000000000291
pr.all,85000,1.680000000000291
pr.in,85000,1.7789999999986321
pr.lapply,85000,2.952000000001135
pr.map,85000,1.9940000000024156
pr.map1,85000,2.0460000000020955
pr.map2,85000,2.805000000000291
pr.for,90000,0.2360000000007858
pr.while,90000,0.25799999999799184
pr.any,90000,2.2269999999989523
pr.all,90000,2.0969999999979336
pr.in,90000,2.0499999999992724
pr.lapply,90000,3.230999999999767
pr.map,90000,2.205999999998312
pr.map1,90000,2.3079999999972642
